country_clean,n_unique_isolates,n_isolates_with_LMS,n_isolates_with_complete_LMS,pct_isolates_with_LMS,pct_isolates_with_complete_LMS
Kenya,200,30,8,15,4
Madagascar,195,1,0,0.5,0
South Africa,160,127,103,79.4,64.4
Uganda,107,6,1,5.6,0.9
Rwanda,50,36,0,72,0
Egypt,46,1,0,2.2,0
Zimbabwe,42,3,3,7.1,7.1
Mauritania,41,4,2,9.8,4.9
Central African Republic,33,2,0,6.1,0
Sudan,23,0,0,0,0
Tanzania,12,0,0,0,0
Guinea,8,0,0,0,0
Senegal,8,6,1,75,12.5
Burundi,7,0,0,0,0
Namibia,5,4,2,80,40
Botswana,4,2,0,50,0
Burkina Faso,4,0,0,0,0
Gabon,4,0,0,0,0
Angola,3,1,1,33.3,33.3
Niger,3,0,0,0,0
Chad,2,0,0,0,0
Mali,2,0,0,0,0
Mozambique,2,0,0,0,0
Somalia,2,0,0,0,0
Zambia,2,0,0,0,0
