country_clean,L,M,S,total_segment_sequences
South Africa,131,145,138,414
Kenya,75,91,95,261
Madagascar,61,63,73,197
Rwanda,46,45,39,130
Uganda,39,36,46,121
Mauritania,11,28,22,61
Egypt,13,21,17,51
Zimbabwe,9,22,17,48
Central African Republic,11,14,12,37
Sudan,4,5,14,23
Senegal,6,7,7,20
Namibia,4,4,5,13
Burundi,5,7,0,12
Tanzania,4,4,4,12
Botswana,4,4,2,10
Guinea,2,3,3,8
Angola,1,2,2,5
Burkina Faso,1,1,2,4
Gabon,0,0,4,4
Chad,1,1,1,3
Niger,0,1,2,3
Mali,0,0,2,2
Mozambique,0,2,0,2
Somalia,0,1,1,2
Zambia,0,1,1,2
